cohort,elapsed,success,count,length
132702001,11.073975731,1,8273,2758843
132702002,10.62508622,1,14155,7332967
132702003,10.566582304,1,13598,4497289
132703001,10.566905244,1,8392,2813218
132703002,10.367158624,1,14763,7756608
132703003,37.134992928,1,132,45833
132797001,11.084964994,1,208313,71177134
132797002,11.342222981,1,373020,199697016
132797003,40.18878731,1,595291,3386184
133169001,10.538985774,1,12020,3971316
133169002,10.652838833,1,20369,10454311
133444001,10.800770972,1,115478,38788831
133444002,10.450449075,1,209351,111753370
133834001,10.435703047,1,34260,11289115
133834002,10.569038924,1,60573,31700477
133834003,10.627734618,1,34260,11289115
133834005,10.740302869,1,34260,11289115
133834006,7.449976694,1,55261,28922584
133834007,24.090644136,1,1883,1229439
133834008,39.644472676,1,541,291093
133834009,43.646698257,1,0,0
133834010,7.747987503,1,0,0
133834011,23.509202866,1,0,0
133834012,23.818545586,1,0,0
133834013,23.978265944,1,0,0
134442001,10.630490777,1,41495,14190955
134442002,10.629504661,1,71925,37678166
134442003,11.584575397,1,24606,8059966
134442004,11.323961893,1,41495,14190955
134442005,11.335672247,1,64415,21752473
136774001,10.983720648,1,2906,970271
136774002,10.310325013,1,4992,2578457
137977001,10.320073456,1,14,4711
137977002,10.393926068,1,18,7553
138379001,10.478010546,1,63699,21761235
138379002,10.739167391,1,113836,60903276
138379003,20.331944003,1,113836,60903276
138502001,10.524036071,1,18123,5882362
138502002,10.41471274,1,31378,16157434
138502003,10.426441786,1,18123,5882362
138994001,10.541355061,1,93701,32310754
138994002,10.386790404,1,173799,95369559
139803001,10.621868403,1,216,73510
139803002,10.478715955,1,371,196229
139803003,9.436675595,1,602,1547
139803004,23.622971756,1,602,1547
139803005,9.407727655,1,2157,7129
139803006,23.750731521,1,34040,67526
139803007,9.997291799,1,34040,67526
139899001,10.602373547,1,12699,4214566
139899002,10.521873103,1,21962,11417149
140168001,10.793003187,1,22921,7615527
140168002,10.834318871,1,39994,20921886
140168003,25.287005247,1,22921,7615527
140168004,112.952896193,1,22588,7495764
140168005,41.821220924,1,0,0
140168006,7.981404048,1,35734,18688242
140168007,163.164537335,1,35734,18695616
140168008,181.401261362,1,35734,18695616
