cohort,elapsed,success,count,length
132702001,1.335768794,1,361,120860
132702002,1.426932115,1,626,326982
132702003,1.723760169,1,585,194020
132703001,1.286745432,1,328,109952
132703002,1.366278659,1,620,336750
132703003,1.513738984,1,6,1582
132797001,1.96839792,1,9017,3077062
132797002,1.437120712,1,16118,8623761
132797003,2.882900457,1,5170,58487
133169001,1.356805419,1,535,175060
133169002,1.409750503,1,904,461116
133444001,1.638518495,1,5025,1685787
133444002,1.581002444,1,9011,4778942
133834001,1.269218698,1,1461,468757
133834002,1.480373828,1,2579,1321954
133834003,1.352211916,1,1461,468757
133834005,1.490840917,1,1461,468757
133834006,1.271984633,1,2356,1214453
133834007,2.180434793,1,81,51377
133834008,9.188023882,1,23,11324
133834009,10.730942523,1,1,100
133834010,0.98431959,1,0,0
133834011,0.882012745,1,0,0
133834012,1.971497483,1,0,0
133834013,2.599104168,1,0,0
134442001,1.303744903,1,1715,582640
134442002,1.532660465,1,3051,1613985
134442003,1.435631893,1,1031,335216
134442004,1.364179048,1,1715,582640
134442005,1.596354369,1,2684,900092
136774001,1.663104766,1,127,42501
136774002,1.291688186,1,216,110851
137977001,1.542963994,1,2,330
137977002,1.582386594,1,2,330
138379001,1.317839607,1,2736,925421
138379002,1.495221681,1,4852,2560056
138379003,1.817464736,1,4852,2560056
138502001,1.507252218,1,749,248001
138502002,1.4790008,1,1297,671764
138502003,1.436219076,1,749,248001
138994001,1.607454078,1,4068,1415664
138994002,1.382457828,1,7507,4122046
139803001,1.346949529,1,10,3513
139803002,1.253966571,1,16,8410
139803003,1.172495694,1,24,71
139803004,2.51650197,1,3,13
139803005,1.632292242,1,95,293
139803006,2.821117874,1,25,69
139803007,1.176600637,1,1383,2732
139899001,1.571919135,1,578,194123
139899002,1.633208252,1,999,521821
140168001,1.749358204,1,3170,1073209
140168002,1.423234603,1,5833,3146140
140168003,1.65468892,1,3170,1073209
140168004,6.081878919,1,3112,1050493
140168005,1.720851425,1,0,0
140168006,1.210081908,1,5732,3092844
140168007,3.578496118,1,890,563945
140168008,4.869451373,1,361,221398
140168009,1.116976916,1,4720,2534001
140168010,1.059947483,1,514,284371
140168011,1.955321153,1,66,46162
140168012,2.500364637,1,42,27288
140352001,1.594676019,1,1134,374221
140352002,1.31155236,1,1907,971519
140673001,1.448382825,1,20049,7381622
