cohort,elapsed,success,count,length
132702001,0.372300976,1,361,120860
132702002,0.206555497,1,626,326982
132702003,0.203300701,1,585,194020
132703001,1.894497402,1,328,109952
132703002,1.87697927,1,620,336750
132703003,0.754141425,1,6,1582
132797001,1.366153108,1,9017,3077062
132797002,1.971836054,1,16118,8623761
132797003,2.893188017,1,5170,58487
133169001,0.429578505,1,535,175060
133169002,0.198093551,1,904,461116
133444001,0.551045306,1,5025,1685787
133444002,0.965784377,1,9011,4778942
133834001,0.648919235,1,1461,468757
133834002,0.589179869,1,2579,1321954
133834003,0.393673998,1,1461,468757
133834005,0.324744437,1,1461,468757
133834006,0.346890605,1,2356,1214453
133834007,0.577937972,1,81,51377
133834008,2.809204287,1,23,11324
133834009,3.526475354,1,1,100
133834010,0.046643032,1,0,0
133834011,0.121012591,1,0,0
133834012,0.507740671,1,0,0
133834013,0.608226004,1,0,0
134442001,0.208825466,1,1715,582640
134442002,0.37925677,1,3051,1613985
134442003,0.382081247,1,1031,335216
134442004,0.332310111,1,1715,582640
134442005,0.435122527,1,2684,900092
136774001,0.253072215,1,127,42501
136774002,0.115883475,1,216,110851
137977001,0.078867313,1,0,0
137977002,0.093689757,1,0,0
138379001,0.463752168,1,2787,942531
138379002,0.583612779,1,4926,2593455
138379003,1.316766237,1,4926,2593455
138502001,0.379623285,1,749,248001
138502002,0.257655864,1,1297,671764
138502003,0.234071378,1,749,248001
138994001,0.492422763,1,4068,1415664
138994002,0.8336396,1,7507,4122046
139803001,0.402704084,1,10,3513
139803002,0.079425311,1,16,8410
139803003,0.088364069,1,24,71
139803004,0.204395127,1,3,13
139803005,0.13241178,1,95,293
139803006,0.314322543,1,25,69
139803007,0.200518676,1,1383,2732
139899001,0.277382955,1,578,194123
139899002,0.197123497,1,999,521821
140168001,2.537616551,1,3170,1073209
140168002,2.918927233,1,5833,3146140
140168003,2.740037727,1,3170,1073209
140168004,6.359000285,1,3112,1050493
140168005,2.696053912,1,0,0
140168006,0.472696096,1,5732,3092844
140168007,2.05533781,1,890,563945
140168008,2.04454838,1,361,221398
140168009,0.428480098,1,4720,2534001
140168010,0.432527648,1,514,284371
140168011,1.832724261,1,66,46162
140168012,0.421508593,1,42,27288
140352001,0.186884295,1,1260,416530
140352002,0.379130687,1,2115,1075018
140673001,1.879343416,1,20049,7381622
140673002,4.542397309,1,55144,35367238
141232001,4.743596981,1,1827,599997
141232002,2.322506939,1,3215,1664634
141456001,0.201057243,1,0,0
141456002,0.067015053,1,0,0
141933001,0.190221139,1,811,261095
141933002,0.229500811,1,1418,731607
141933003,0.696710786,1,2561,844624
192359001,1.923913476,1,16851,5936633
192359002,3.272717418,1,36140,21301313
192671001,2.752149609,1,10140,3512602
192671002,2.268985157,1,18802,10275717
192671003,2.782491945,1,1395,11276
192671004,1.383608961,1,1238,10008
192671005,1.374108042,1,1238,10008
192675001,0.185004065,1,617,210744
192675002,0.168663114,1,1068,561453
192675003,0.320206816,1,617,210744
192675004,0.231473617,1,13,4902
193782001,2.922340357,1,10406,3490656
193782002,3.652225351,1,18932,10225355
193782004,6.428061969,1,6533,3643088
193782005,9.751806928,1,6894,3797126
194133001,2.084591476,1,18386,6631761
194133002,3.467109451,1,44810,27591105
194702001,1.853028323,1,5,1155
194702002,0.086745562,1,8,3709
194702003,0.116052147,1,5,13
194992001,0.200276855,1,742,246901
194992002,0.273701515,1,1258,645300
196523001,0.869973203,1,10186,3495072
196523002,1.737432133,1,18937,10304713
196523003,1.584847838,1,10500,3610138
196523004,1.824944069,1,19661,10745069
196523005,3.000091286,1,23432,30894
197320001,3.509717943,1,4463,1543454
197320002,2.640649379,1,7660,4028437
197320003,2.885995305,1,122,588
197320004,1.922656135,1,260,8020
197494001,0.314618584,1,3254,1116979
197494002,0.569865045,1,5833,3136468
197494003,0.776806773,1,6564,3508284
197494004,0.831824928,1,8282,4381267
197494005,422.850891211,1,43,28475
197494006,0.454538102,1,6779,3627697
197494007,413.587520907,1,5,3214
197494008,8.818451722,1,18,12906
197494009,8.76293544,1,26,16454
197494010,0.452526518,1,7505,3947913
197494011,9.212861778,1,43,28475
197508001,1.973161724,1,5011,1702065
197508002,2.388382292,1,9070,4863205
198571001,0.457221695,1,724,249610
198571002,0.185373972,1,1224,624969
198571003,0.301341782,1,257,4520
198984001,0.114655461,1,183,68677
198984002,0.121465648,1,328,179954
198985001,0.252807805,1,2204,753008
198985002,0.505475168,1,3792,1985445
199074001,0.425033697,1,2842,982921
199074002,0.468178457,1,4966,2635510
199074003,0.71888056,1,662,5323
200219001,1.527495661,1,18975,6917899
200219002,3.09816558,1,47285,29337601
200762001,1.798135767,1,168,57615
200762002,0.09534309,1,255,123900
200762003,0.556294359,1,168,57615
200762004,0.148787509,1,1,236
200762005,0.14744973,1,1,236
201214001,0.095203431,1,22,6706
201214002,0.075879775,1,39,20310
201254001,0.728897056,1,10784,3775650
201254002,1.512189131,1,21881,12545646
201254003,1.779340557,1,13380,4771795
201340001,1.527697909,1,10443,3601354
201340002,1.840809417,1,20134,11159896
201606001,0.946416437,1,1772,600312
201606002,0.364152826,1,3111,1638626
201606003,2.577277522,1,1772,600312
201606004,2.760459996,1,9,3708
201606005,0.251897632,1,3111,1638626
201606006,1.983235957,1,2,1248
201606007,0.559277556,1,0,0
201606008,1.596891488,1,60,42379
201606009,0.760491431,1,153,95032
201606010,1.097217908,1,292,164317
201620001,0.425148463,1,5497,1852295
201620002,0.826230578,1,9937,5281446
201826001,2.92271877,1,13890,5146991
201826002,5.626035834,1,67400,49425607
201826003,6.531189844,1,69578,52119419
201826004,4.161062995,1,12631,4626260
201826005,5.137411819,1,18780,7419901
201826006,49.322635765,1,0,0
201826007,16.491932311,1,18657,7394896
201826008,5.333731445,1,8861,3341735
24134001,0.420927067,1,0,0
24134002,0.066152882,1,0,0
24134003,0.042404996,1,0,0
24609001,0.206850177,1,2058,697601
24609002,0.374927867,1,3624,1922234
24609003,0.508250054,1,3861,1311058
