cohort,elapsed,success,count,length
132702001,0.208173943,1,361,120860
132702002,0.080758141,1,626,326982
132702003,0.134370914,1,585,194020
132703001,0.102506493,1,328,109952
132703002,0.108411641,1,620,336750
132703003,0.109547969,1,6,1582
132797001,0.57067316,1,9017,3077062
132797002,1.115669579,1,16118,8623761
132797003,1.83477868,1,5170,58487
133169001,0.349138608,1,535,175060
133169002,0.114366982,1,904,461116
133444001,0.325317787,1,5025,1685787
133444002,0.614907471,1,9011,4778942
133834001,0.466763867,1,1461,468757
133834002,0.197037759,1,2579,1321954
133834003,0.254190673,1,1461,468757
133834005,0.331203357,1,1461,468757
133834006,0.225970021,1,2356,1214453
133834007,0.217275383,1,81,51377
133834008,0.258107931,1,23,11324
133834009,0.283112166,1,1,100
133834010,0.014900912,1,0,0
133834011,0.02726578,1,0,0
133834012,0.046251937,1,0,0
133834013,0.082126422,1,0,0
134442001,0.105379786,1,1715,582640
134442002,0.210799835,1,3051,1613985
134442003,0.242948654,1,1031,335216
134442004,0.195100734,1,1715,582640
134442005,0.297108866,1,2684,900092
136774001,0.152601221,1,127,42501
136774002,0.046733317,1,216,110851
137977001,0.041944985,1,0,0
137977002,0.031826197,1,0,0
138379001,0.210399884,1,2787,942531
138379002,0.365960011,1,4926,2593455
138379003,0.491369989,1,4926,2593455
138502001,0.307631465,1,749,248001
138502002,0.11301591,1,1297,671764
138502003,0.113872603,1,749,248001
138994001,0.321603691,1,4068,1415664
138994002,0.634463025,1,7507,4122046
139803001,0.355913523,1,10,3513
139803002,0.038170813,1,16,8410
139803003,0.076510936,1,24,71
139803004,0.13131957,1,3,13
139803005,0.082597872,1,95,293
139803006,0.49290584,1,25,69
139803007,0.116956103,1,1383,2732
139899001,0.130836564,1,578,194123
139899002,0.102823088,1,999,521821
140168001,0.250530043,1,3170,1073209
140168002,0.398937412,1,5833,3146140
140168003,0.442120266,1,3170,1073209
140168004,0.429332632,1,3112,1050493
140168005,0.317969319,1,0,0
140168006,0.402176436,1,5732,3092844
140168007,1.377430763,1,890,563945
140168008,1.187997463,1,361,221398
140168009,0.345870449,1,4720,2534001
140168010,0.32232546,1,514,284371
140168011,0.446136838,1,66,46162
140168012,0.182480829,1,42,27288
140352001,0.105333464,1,1260,416530
140352002,0.157750214,1,2115,1075018
140673001,1.9929259,1,20049,7381622
140673002,3.328524599,1,55144,35367238
141232001,2.098591308,1,1827,599997
141232002,0.262902337,1,3215,1664634
141456001,0.149938477,1,0,0
141456002,0.004427246,1,0,0
141933001,0.056936218,1,811,261095
141933002,0.116518252,1,1418,731607
141933003,0.582057263,1,2561,844624
192359001,1.663302124,1,16851,5936633
192359002,2.30801987,1,36140,21301313
