cohort,elapsed,success,count,length
132702001,0.073302532,1,361,120860
132702002,0.054387677,1,626,326982
132702003,0.065133713,1,585,194020
132703001,0.077175628,1,328,109952
132703002,0.097449562,1,620,336750
132703003,0.159121586,1,6,1582
132797001,0.74704804,1,9017,3077062
132797002,0.858094041,1,16118,8623761
132797003,54.470113727,1,5170,58487
133169001,0.086223953,1,535,175060
133169002,0.060989594,1,904,461116
133444001,0.269761588,1,5025,1685787
133444002,0.441287247,1,9011,4778942
133834001,0.13568415,1,1461,468757
133834002,0.153567788,1,2579,1321954
133834003,0.10587686,1,1461,468757
133834005,0.075803816,1,1461,468757
133834006,0.135423424,1,2356,1214453
133834007,0.377757995,1,81,51377
133834008,0.460542793,1,23,11324
133834009,0.448882474,1,1,100
133834010,0.016708847,1,0,0
133834011,0.015824722,1,0,0
133834012,0.018843075,1,0,0
133834013,0.022476563,1,0,0
134442001,0.094867825,1,1715,582640
134442002,0.110712333,1,3051,1613985
134442003,0.07048705,1,1031,335216
134442004,0.079299319,1,1715,582640
134442005,0.150691452,1,2684,900092
136774001,0.026655948,1,127,42501
136774002,0.033404256,1,216,110851
137977001,0.014840671,1,0,0
137977002,0.01330421,1,0,0
138379001,0.154743133,1,2787,942531
138379002,0.188266445,1,4926,2593455
138379003,0.278779997,1,4926,2593455
138502001,0.054461236,1,749,248001
138502002,0.058661065,1,1297,671764
138502003,0.047189906,1,749,248001
138994001,0.217414476,1,4068,1415664
138994002,0.302840872,1,7507,4122046
139803001,0.021075465,1,10,3513
139803002,0.015355398,1,16,8410
139803003,0.05063048,1,24,71
139803004,0.059323769,1,3,13
139803005,0.051330165,1,95,293
139803006,0.148406144,1,25,69
139803007,0.08964628,1,1383,2732
139899001,0.064402185,1,578,194123
139899002,0.048823668,1,999,521821
140168001,0.169593258,1,3170,1073209
140168002,0.251114645,1,5833,3146140
140168003,0.226533743,1,3170,1073209
140168004,4.075695814,1,3112,1050493
140168005,0.345997408,1,0,0
140168006,0.250198659,1,5732,3092844
140168007,1.75030741,1,890,563945
140168008,1.724719826,1,361,221398
140168009,0.218174846,1,4720,2534001
140168010,0.091272025,1,514,284371
140168011,0.296729033,1,66,46162
140168012,0.270838048,1,42,27288
140352001,0.12105436,1,1260,416530
140352002,0.087072501,1,2115,1075018
140673001,1.279534969,1,20049,7381622
140673002,2.119320124,1,55144,35367238
141232001,0.155840636,1,1827,599997
141232002,0.137128502,1,3215,1664634
141456001,0.016692992,1,0,0
141456002,0.014064245,1,0,0
141933001,0.051995379,1,811,261095
141933002,0.062589003,1,1418,731607
141933003,0.542858734,1,2561,844624
192359001,1.159974249,1,16851,5936633
192359002,1.598110386,1,36140,21301313
192671001,0.50594876,1,10140,3512602
192671002,0.747007324,1,18802,10275717
192671003,8.431816481,1,1395,11276
192671004,1.403683894,1,1238,10008
192671005,1.6031426,1,1238,10008
192675001,0.075639173,1,617,210744
192675002,0.074861411,1,1068,561453
192675003,0.183367191,1,617,210744
192675004,0.160391297,1,13,4902
193782001,0.665010866,1,10406,3490656
193782002,0.861809699,1,18932,10225355
193782004,941.079904486,1,6533,3643088
193782005,1170.472561672,1,6894,3797126
194133001,1.469668962,1,18386,6631761
194133002,2.170755473,1,44810,27591105
194702001,0.065102062,1,5,1155
194702002,0.018316237,1,8,3709
194702003,0.054578579,1,5,13
194992001,0.057329063,1,742,246901
194992002,0.078204464,1,1258,645300
196523001,0.594219203,1,10186,3495072
196523002,0.856000207,1,18937,10304713
196523003,0.756990472,1,10500,3610138
196523004,0.877011037,1,19661,10745069
196523005,1.187681156,1,23432,30894
197320001,0.256153708,1,4463,1543454
197320002,0.303324505,1,7660,4028437
197320003,1.581393872,1,122,588
197320004,1.576047717,1,260,8020
197494001,0.202277686,1,3254,1116979
197494002,0.23129999,1,5833,3136468
197494003,0.370131388,1,6564,3508284
197494004,0.335810567,1,8282,4381267
197494005,2.631369315,1,43,28475
197494006,0.387728898,1,6779,3627697
197494007,2.43516468,1,5,3214
197494008,2.615776872,1,18,12906
197494009,2.620340054,1,26,16454
197494010,0.361228681,1,7505,3947913
197494011,2.72372979,1,43,28475
197508001,0.339218283,1,5011,1702065
197508002,0.437439601,1,9070,4863205
198571001,0.063562137,1,724,249610
198571002,0.069373814,1,1224,624969
198571003,0.222671017,1,257,4520
198984001,0.034889657,1,183,68677
198984002,0.031506064,1,328,179954
198985001,0.156402433,1,2204,753008
198985002,0.165324575,1,3792,1985445
199074001,0.190942608,1,2842,982921
199074002,0.209803654,1,4966,2635510
