cohort,elapsed,success,count,length
132702001,0.031986529,1,4,1867
132702002,0.011467668,1,5,2775
132702003,0.01520178,1,6,2676
132703001,0.017660456,1,5,1841
132703002,0.012270527,1,8,4617
132703003,0.01476034,1,0,0
132797001,0.026884122,1,107,46339
132797002,0.017344469,1,163,96253
132797003,0.164133702,1,42,390
133169001,0.014190922,1,8,2928
133169002,0.011549952,1,12,6279
133444001,0.016098732,1,53,22342
133444002,0.014100658,1,88,51058
133834001,0.013515851,1,11,4372
133834002,0.017438363,1,20,12200
133834003,0.019223725,1,11,4372
133834005,0.01416572,1,11,4372
133834006,0.012264739,1,18,10777
133834007,0.026102167,1,1,754
133834008,0.024220155,1,0,0
133834009,0.041476817,1,0,0
133834010,0.011903104,1,22,14654
133834011,0.019426099,1,0,0
133834012,0.023443373,1,0,0
133834013,0.036018267,1,0,0
134442001,0.017451615,1,28,11850
134442002,0.01589506,1,38,20814
134442003,0.015311443,1,13,5386
134442004,0.015790346,1,28,11850
134442005,0.020825852,1,40,16711
136774001,0.01322465,1,3,603
136774002,0.011321715,1,4,1523
137977001,0.013602864,1,15,5767
137977002,0.012045183,1,22,11797
138379001,0.021599001,1,37,13139
138379002,0.013475763,1,60,33852
138379003,0.022515495,1,60,33852
138502001,0.014140012,1,12,4600
138502002,0.012961263,1,20,11273
138502003,0.01562938,1,12,4600
138994001,0.020107681,1,43,18369
138994002,0.014475923,1,90,60348
139803001,0.01252192,1,0,0
139803002,0.010799758,1,0,0
139803003,0.013634738,1,0,0
139803004,0.012781269,1,0,0
139803005,0.012773672,1,2,4
139803006,0.014570818,1,0,0
139803007,0.020500445,1,12,25
139899001,0.01422794,1,9,4119
139899002,0.012427556,1,11,5409
140168001,0.017318836,1,13,4004
140168002,0.01854778,1,15,5474
140168003,0.020817829,1,13,4004
140168004,0.05395235,1,13,4004
140168005,0.017725783,1,0,0
140168006,0.018499612,1,15,5474
140168007,0.036095283,1,0,0
140168008,0.066741879,1,0,0
140168009,0.012741527,1,3,1114
140168010,0.014343619,1,1,356
140168011,0.021784415,1,0,0
140168012,0.013702968,1,0,0
140352001,0.015651157,1,12,4549
140352002,0.013223659,1,21,12530
140673001,0.030847454,1,226,107018
140673002,0.029562112,1,550,393936
141232001,0.019282812,1,16,7271
141232002,0.013208483,1,31,20353
141456001,0.013003477,1,1,544
141456002,0.011513064,1,2,1383
141933001,0.013051747,1,14,6184
141933002,0.01269065,1,17,9254
141933003,0.119793922,1,46,21863
192359001,0.028831693,1,187,84519
192359002,0.040944978,1,409,277100
192671001,0.028098189,1,132,59622
192671002,0.035409453,1,242,155835
192671003,0.144640063,1,34,272
192671004,0.040306208,1,37,296
192671005,0.038218215,1,37,296
192675001,0.016174093,1,6,2675
192675002,0.013209095,1,15,10966
192675003,0.018040794,1,6,2675
192675004,0.014612055,1,0,0
193782001,0.015947776,1,117,47632
193782002,0.018221063,1,209,128411
193782004,0.765004864,1,44,30409
193782005,1.128432861,1,48,32296
194133001,0.024139304,1,190,82554
194133002,0.026440691,1,442,302874
194702001,0.013456311,1,0,0
194702002,0.011024785,1,0,0
194702003,0.019724143,1,0,0
194992001,0.013995133,1,7,3178
194992002,0.011203609,1,10,5800
196523001,0.016915706,1,102,39437
196523002,0.014772557,1,178,106462
196523003,0.025535765,1,108,42229
196523004,0.028894242,1,185,110234
196523005,0.020833786,1,231,314
197320001,0.020808015,1,140,58648
197320002,0.017214876,1,229,133183
197320003,0.185908816,1,20,317
197320004,0.075051059,1,51,1735
197494001,0.014523552,1,28,11637
197494002,0.014102325,1,52,33232
197494003,0.018163866,1,52,33232
197494004,0.016046668,1,52,33232
197494005,0.040087698,1,0,0
197494006,0.016021624,1,57,37156
197494007,0.035861502,1,0,0
197494008,0.072840682,1,0,0
197494009,0.056095504,1,0,0
197494010,0.012882308,1,44,29472
197494011,0.04260887,1,0,0
197508001,0.022821853,1,58,22993
197508002,0.015980686,1,106,65947
198571001,0.013440802,1,6,2391
198571002,0.012735863,1,10,5278
198571003,0.023982418,1,2,33
198984001,0.016586793,1,5,1321
198984002,0.011947531,1,9,4904
198985001,0.015239578,1,26,12094
198985002,0.015026292,1,36,21408
199074001,0.019745649,1,26,11830
199074002,0.013290857,1,44,27357
199074003,0.034680434,1,5,40
200219001,0.031388435,1,229,103821
