cohort,elapsed,success,count,length
132702001,0.914326879,1,361,120860
132702002,0.785392223,1,626,326982
132702003,0.72819825,1,585,194020
132703001,0.705552845,1,328,109952
132703002,0.747882388,1,620,336750
132703003,6.701205032,1,6,1582
132797001,0.75325118,1,9017,3077062
132797002,0.77706914,1,16118,8623761
132797003,2.54199457,1,5170,58487
133169001,1.089148282,1,535,175060
133169002,0.744119483,1,904,461116
133444001,1.075192711,1,5025,1685787
133444002,0.898106471,1,9011,4778942
133834001,0.710424978,1,1461,468757
133834002,0.686082049,1,2579,1321954
133834003,1.041282401,1,1461,468757
133834005,0.780524139,1,1461,468757
133834006,0.46119204,1,2356,1214453
133834007,1.160781239,1,81,51377
133834008,2.334713019,1,23,11324
133834009,2.515948109,1,1,100
133834010,0.446356452,1,0,0
133834011,1.405867557,1,0,0
133834012,1.658866297,1,0,0
133834013,1.810271433,1,0,0
134442001,0.704996748,1,1715,582640
134442002,0.696660176,1,3051,1613985
134442003,0.732841896,1,1031,335216
134442004,0.777693879,1,1715,582640
134442005,0.759564441,1,2684,900092
136774001,0.679575896,1,127,42501
136774002,0.728973222,1,216,110851
137977001,0.773727265,1,2,330
137977002,0.898916328,1,2,330
138379001,0.794407364,1,2736,925421
138379002,0.935303857,1,4852,2560056
138379003,1.489222451,1,4852,2560056
138502001,0.874450517,1,749,248001
138502002,0.680836905,1,1297,671764
138502003,0.893625064,1,749,248001
138994001,0.775842959,1,4068,1415664
138994002,0.7772238,1,7507,4122046
139803001,0.673707699,1,10,3513
139803002,0.878089254,1,16,8410
139803003,0.729412716,1,24,71
139803004,1.286358697,1,3,13
139803005,0.88499538,1,95,293
139803006,1.684098177,1,25,69
139803007,0.610737963,1,1383,2732
139899001,0.775006548,1,578,194123
139899002,0.746734823,1,999,521821
140168001,0.782693432,1,3170,1073209
140168002,1.072729099,1,5833,3146140
140168003,6.499209875,1,3170,1073209
140168004,4.670427458,1,3112,1050493
140168005,2.37286799,1,0,0
140168006,0.910893237,1,5732,3092844
140168007,2.725907724,1,890,563945
140168008,3.643936566,1,361,221398
140168009,0.503325862,1,4720,2534001
140168010,0.856794421,1,514,284371
140168011,1.696459757,1,66,46162
140168012,1.48530325,1,42,27288
140352001,1.015356238,1,1134,374221
140352002,1.061683503,1,1907,971519
140673001,0.707731217,1,20049,7381622
140673002,1.005532648,1,55144,35367238
141232001,0.776448596,1,1827,599997
141232002,0.869383222,1,3215,1664634
141456001,0.678879949,1,0,0
141456002,0.759804484,1,0,0
141933001,0.771751159,1,811,261095
141933002,0.778100679,1,1418,731607
141933003,2.68491177,1,2561,844624
192359001,1.12499856,1,14895,5174762
192359002,1.202708944,1,30161,17286718
192671001,0.942294442,1,11035,3847432
192671002,1.077816044,1,20960,11596630
192671003,7.338702101,1,1743,14119
192671004,2.015877349,1,1238,10008
192671005,1.800263672,1,1238,10008
192675001,0.682809492,1,617,210744
192675002,0.782138456,1,1068,561453
192675003,2.015855765,1,617,210744
192675004,1.988110006,1,13,4902
193782001,0.80883521,1,10406,3490656
193782002,1.032266707,1,18932,10225355
193782004,2.419879789,1,5734,3258140
193782005,3.378948483,1,6370,3604752
194133001,0.712105555,1,18386,6631761
194133002,0.886812095,1,44810,27591105
194702001,0.783990626,1,5,1155
194702002,0.681620961,1,8,3709
194702003,0.785391101,1,5,13
194992001,0.745249692,1,742,246901
194992002,0.878740362,1,1258,645300
196523001,0.967174753,1,10186,3495072
196523002,0.927105429,1,18937,10304713
196523003,0.80540795,1,10500,3610138
196523004,0.865630239,1,19661,10745069
196523005,5.258661136,1,23432,30894
197320001,1.070422538,1,3566,1237660
